battery_id,battery_name,celvollo,celvolhi,imbalance,soc,kw,kvar,volts,charge_rate,created_on_ts
81,Battery-14,2.3806,2.3846,4,64,0.38,-2.8,223.6,0,2023-06-14 07:00:26.308668+10
81,Battery-14,2.3806,2.3846,4,64,0.77,-0.65,224.1,0,2023-06-14 07:01:53.911243+10
81,Battery-14,2.3806,2.3846,4,64,-0.25,-0.05,223.6,0,2023-06-14 07:02:24.207879+10
81,Battery-14,2.3806,2.3846,4,64,1.01,-4,223.6,0,2023-06-14 07:03:24.204156+10
81,Battery-14,2.3806,2.3846,4,64,-0.19,-0.05,227.6,0,2023-06-14 07:04:23.781889+10
81,Battery-14,2.3796,2.3846,5,64,0.84,-0.05,223.4,0,2023-06-14 07:05:24.391927+10
81,Battery-14,2.3806,2.3861,5.5,64,1.8,-3.27,219.6,0,2023-06-14 07:06:23.862913+10
81,Battery-14,2.3809,2.3861,5.2,64,1.8,-1.84,219.2,0,2023-06-14 07:07:24.452522+10
81,Battery-14,2.382,2.3861,4.1,64,1.44,-1.11,219.7,0,2023-06-14 07:08:53.938765+10
81,Battery-14,2.382,2.3873,5.3,64,1.04,-1.68,221.7,0,2023-06-14 07:09:24.027471+10
81,Battery-14,2.382,2.3873,5.3,64,1.14,-3.63,222.5,0,2023-06-14 07:10:24.694018+10
81,Battery-14,2.382,2.3873,5.3,64,0.44,-2.01,220.7,0,2023-06-14 07:11:54.566581+10
81,Battery-14,2.382,2.3862,4.2,64,0.38,-2.04,219.7,0,2023-06-14 07:12:25.094406+10
81,Battery-14,2.382,2.3862,4.2,64,0.57,-1.98,220.2,0,2023-06-14 07:13:28.959015+10
81,Battery-14,2.382,2.3862,4.2,64,0.48,-2.01,220.6,0,2023-06-14 07:14:25.148361+10
81,Battery-14,2.382,2.3862,4.2,64,0.21,-1.21,219.9,0,2023-06-14 07:15:25.268918+10
81,Battery-14,2.382,2.3862,4.2,64,0.67,-1.84,222.3,0,2023-06-14 07:16:26.146687+10
81,Battery-14,2.3808,2.3862,5.4,64,-0.25,0.01,219.1,0,2023-06-14 07:17:24.600784+10
81,Battery-14,2.382,2.3862,4.2,64,1.37,-1.28,218.7,0,2023-06-14 07:18:53.881109+10
81,Battery-14,2.382,2.3862,4.2,64,-0.25,-1.64,220.5,0,2023-06-14 07:19:24.216764+10
81,Battery-14,2.382,2.3873,5.3,64,0.34,-2.11,219.6,0,2023-06-14 07:20:26.255236+10
81,Battery-14,2.382,2.3873,5.3,64,1.4,-0.78,218.7,0,2023-06-14 07:21:24.220642+10
81,Battery-14,2.3831,2.3873,4.2,64,0.81,-2.11,222,0,2023-06-14 07:22:31.395488+10
81,Battery-14,2.3831,2.3873,4.2,64,1.2,-1.64,222.4,0,2023-06-14 07:23:24.046947+10
