battery_id,battery_name,celvollo,celvolhi,imbalance,soc,kw,kvar,volts,charge_rate,created_on_ts
81,Battery-14,2.3831,2.3873,4.2,64,0.87,-2.14,221.7,0,2023-06-14 07:24:23.861335+10
81,Battery-14,2.3831,2.3873,4.2,64,0.87,-0.12,223.3,0,2023-06-14 07:25:23.763953+10
81,Battery-14,2.3831,2.3873,4.2,64,0.71,-0.19,220.6,0,2023-06-14 07:26:23.98283+10
81,Battery-14,2.3831,2.3876,4.5,64.5,1.17,-1.84,219,0,2023-06-14 07:27:24.883708+10
81,Battery-14,2.3831,2.3876,4.5,64.5,1.07,-1.98,220.7,0,2023-06-14 07:28:23.431129+10
81,Battery-14,2.3831,2.3876,4.5,64.5,0.11,-0.05,221.7,0,2023-06-14 07:29:23.46477+10
81,Battery-14,2.3831,2.3876,4.5,64.5,1.5,-1.05,222.9,0,2023-06-14 07:31:13.077052+10
81,Battery-14,2.3831,2.3876,4.5,64.5,1.5,-1.05,222.9,0,2023-06-14 07:31:25.355043+10
81,Battery-14,2.3831,2.3881,5,64.5,1.07,-2.27,222,0,2023-06-14 07:32:24.451546+10
81,Battery-14,2.3831,2.3881,5,64.5,0.34,-2.01,221.4,0,2023-06-14 07:33:26.155395+10
81,Battery-14,2.3831,2.3881,5,64.5,1.1,-1.94,222.5,0,2023-06-14 07:34:24.145587+10
81,Battery-14,2.3831,2.3881,5,64.5,0.01,-2.47,221,0,2023-06-14 07:35:25.219592+10
81,Battery-14,2.3831,2.3881,5,64.5,1.37,-1.78,221,0,2023-06-14 07:36:24.182634+10
81,Battery-14,2.3831,2.3881,5,64.5,1.34,-1.78,222.1,0,2023-06-14 07:37:25.027218+10
81,Battery-14,2.3831,2.3881,5,64.5,0.97,-2.14,220.9,0,2023-06-14 07:38:53.259943+10
81,Battery-14,2.3831,2.3881,5,64.5,1.07,-1.78,222.1,0,2023-06-14 07:39:23.889592+10
81,Battery-14,2.3831,2.3881,5,64.5,1.1,-1.74,220.1,0,2023-06-14 07:40:24.224619+10
81,Battery-14,2.3831,2.3881,5,64.5,0.34,-2.27,220,0,2023-06-14 07:41:24.208431+10
81,Battery-14,2.3831,2.3881,5,64.5,0.77,-0.45,219.7,0,2023-06-14 07:42:23.877188+10
81,Battery-14,2.3831,2.3881,5,64.5,1.1,-0.85,220.9,0,2023-06-14 07:43:25.295145+10
81,Battery-14,2.3831,2.3881,5,64.5,-0.09,-1.74,219.5,0,2023-06-14 07:44:23.926692+10
81,Battery-14,2.3831,2.3881,5,64.5,0.44,-2.11,220,0,2023-06-14 07:45:24.208294+10
81,Battery-14,2.3831,2.3881,5,64.5,1.97,-2.44,222.6,0,2023-06-14 07:46:24.485605+10
81,Battery-14,2.3846,2.3881,3.5,64.5,0.64,-0.05,222.3,0,2023-06-14 07:47:24.107221+10
81,Battery-14,2.385,2.3881,3.1,64.5,1.44,-0.72,221.6,0,2023-06-14 07:48:23.766257+10
81,Battery-14,2.3836,2.3881,4.5,64.5,0.24,-0.02,220.9,0,2023-06-14 07:49:23.450518+10
81,Battery-14,2.3846,2.3881,3.5,64.5,1.73,-1.51,219.6,0,2023-06-14 07:50:24.145658+10
81,Battery-14,2.3846,2.3881,3.5,64.5,-0.02,-2.11,218.8,0,2023-06-14 07:51:24.203689+10
81,Battery-14,2.3846,2.3881,3.5,64.5,1.4,-0.72,219.7,0,2023-06-14 07:52:24.084465+10
81,Battery-14,2.3846,2.3901,5.5,64.5,1.27,-1.38,219.1,0,2023-06-14 07:53:24.323569+10
81,Battery-14,2.3846,2.3891,4.5,64.5,1.24,-1.88,220.6,0,2023-06-14 07:54:23.338894+10
81,Battery-14,2.3846,2.3891,4.5,64.5,1.04,-0.72,221.4,0,2023-06-14 07:55:24.111227+10
81,Battery-14,2.3846,2.3891,4.5,64.5,1.07,-0.78,221.4,0,2023-06-14 07:56:23.930813+10
81,Battery-14,2.3846,2.3891,4.5,64.5,0.31,0.01,221.5,0,2023-06-14 07:57:23.967061+10
81,Battery-14,2.3834,2.3891,5.7,64.5,-0.12,0.01,221,0,2023-06-14 07:58:23.317109+10
81,Battery-14,2.3846,2.3892,4.6,64.5,1.93,-2.61,218.2,0,2023-06-14 07:59:23.276806+10
81,Battery-14,2.3846,2.3892,4.6,64.5,1.3,-1.88,220,0,2023-06-14 08:00:28.260643+10
81,Battery-14,2.3846,2.3903,5.7,64.5,2,-1.58,219.6,0,2023-06-14 08:01:32.294732+10
81,Battery-14,2.3846,2.3903,5.7,64.5,1.63,-1.15,219.1,0,2023-06-14 08:02:24.456741+10
81,Battery-14,2.3846,2.3903,5.7,64.5,0.04,-2.14,220.6,0,2023-06-14 08:03:24.560787+10
81,Battery-14,2.3846,2.3903,5.7,64.5,2.07,-1.68,219.6,0,2023-06-14 08:04:24.225704+10
81,Battery-14,2.3846,2.3893,4.7,64.5,1.93,-1.74,219.1,0,2023-06-14 08:05:53.777249+10
81,Battery-14,2.3846,2.3903,5.7,65,1.93,-2.27,219.6,0,2023-06-14 08:06:23.952828+10
81,Battery-14,2.3846,2.3903,5.7,65,1.01,-0.45,220,0,2023-06-14 08:07:24.119704+10
81,Battery-14,2.3846,2.389,4.4,65,-0.12,0.04,219.9,0,2023-06-14 08:08:23.734136+10
81,Battery-14,2.3846,2.389,4.4,65,-0.15,0.01,219.6,0,2023-06-14 08:09:24.088604+10
81,Battery-14,2.3834,2.3877,4.3,65,-0.19,0.01,220.2,0,2023-06-14 08:10:42.194958+10
81,Battery-14,2.3834,2.3877,4.3,64.5,-0.22,0.01,220.9,0,2023-06-14 08:11:25.045077+10
81,Battery-14,2.3844,2.3889,4.5,65,1.63,-2.94,215.4,0,2023-06-14 08:12:55.103441+10
81,Battery-14,2.3844,2.3889,4.5,65,1.14,-2.27,215.7,0,2023-06-14 08:13:25.302671+10
81,Battery-14,2.3844,2.3889,4.5,65,-0.09,0.08,220.1,0,2023-06-14 08:14:24.63203+10
81,Battery-14,2.3834,2.3877,4.3,65,-0.12,0.04,218.1,0,2023-06-14 08:15:26.21288+10
81,Battery-14,2.3834,2.3877,4.3,65,-0.15,-0.05,219,0,2023-06-14 08:16:25.186604+10
81,Battery-14,2.3822,2.3877,5.5,64.5,-0.15,-0.02,222.6,0,2023-06-14 08:17:24.996223+10
81,Battery-14,2.3822,2.3865,4.3,64.5,-0.19,0.01,223.5,0,2023-06-14 08:18:24.166173+10
81,Battery-14,2.3822,2.3865,4.3,64.5,-0.19,0.01,221.5,0,2023-06-14 08:19:25.785162+10
81,Battery-14,2.3811,2.3865,5.4,64.5,-0.12,0.01,223,0,2023-06-14 08:20:27.328628+10
81,Battery-14,2.3811,2.3865,5.4,64.5,-0.15,0.01,224.1,0,2023-06-14 08:21:24.416694+10
81,Battery-14,2.3811,2.3855,4.4,64.5,-0.15,0.01,224.5,0,2023-06-14 08:22:54.058086+10
81,Battery-14,2.3811,2.3855,4.4,64.5,-0.12,0.01,223,0,2023-06-14 08:23:24.400754+10
81,Battery-14,2.3811,2.3855,4.4,64.5,-0.19,-0.02,224.4,0,2023-06-14 08:24:25.030905+10
81,Battery-14,2.3811,2.3855,4.4,64.5,-0.02,0.08,225.4,0,2023-06-14 08:25:24.246638+10
81,Battery-14,2.3811,2.3855,4.4,64.5,-0.19,0.01,226.5,0,2023-06-14 08:26:23.866844+10
81,Battery-14,2.3799,2.3855,5.6,64.5,-0.12,0.01,227.3,0,2023-06-14 08:27:24.669907+10
81,Battery-14,2.3799,2.3855,5.6,64.5,-0.15,0.04,226.3,0,2023-06-14 08:28:24.985502+10
81,Battery-14,2.3799,2.3855,5.6,64.5,-0.12,0.11,225.7,0,2023-06-14 08:29:24.341959+10
81,Battery-14,2.3799,2.3855,5.6,64.5,-0.09,0.01,226.7,0,2023-06-14 08:30:26.102307+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.22,0.01,227,0,2023-06-14 08:31:56.789401+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.15,0.01,227.3,0,2023-06-14 08:33:02.199255+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.12,0.01,226.9,0,2023-06-14 08:33:39.391292+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.25,0.01,227.6,0,2023-06-14 08:34:23.992148+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.15,0.04,227.3,0,2023-06-14 08:35:24.260267+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.22,-0.02,224.9,0,2023-06-14 08:36:23.845424+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.22,-0.05,227.9,0,2023-06-14 08:37:24.328164+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.29,-0.05,225.2,0,2023-06-14 08:38:25.814866+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.25,0.01,224.8,0,2023-06-14 08:39:25.158083+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.09,0.01,224.1,0,2023-06-14 08:40:24.227673+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.22,0.01,226.5,0,2023-06-14 08:41:24.342646+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.15,-0.09,227.8,0,2023-06-14 08:42:26.10696+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.15,-0.02,228.1,0,2023-06-14 08:43:25.04756+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.19,-0.02,225.8,0,2023-06-14 08:44:26.136944+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.05,0.01,233.9,0,2023-06-14 08:45:34.284809+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.19,0.01,235,0,2023-06-14 08:46:24.952908+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.15,0.01,234.9,0,2023-06-14 08:47:46.225711+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.22,-0.02,235.6,0,2023-06-14 08:48:53.895788+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.12,-0.05,235.9,0,2023-06-14 08:49:25.70785+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.02,0.04,236.9,0,2023-06-14 08:50:24.720366+10
81,Battery-14,2.3799,2.3843,4.4,64.5,-0.09,0.11,236.4,0,2023-06-14 08:51:24.317019+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.15,0.04,236.9,0,2023-06-14 08:52:25.583949+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.09,0.11,235.4,0,2023-06-14 08:53:24.561212+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.19,-0.09,234.6,0,2023-06-14 08:54:24.73005+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.02,0.14,236.9,0,2023-06-14 08:55:24.628508+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.12,0.04,236.3,0,2023-06-14 08:56:26.591017+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.05,0.11,233.6,0,2023-06-14 08:57:25.179111+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.05,0.01,234,0,2023-06-14 08:58:25.543995+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.15,0.01,235.9,0,2023-06-14 08:59:24.218478+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.12,0.01,236.1,0,2023-06-14 09:00:24.759404+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.12,0.01,233.9,0,2023-06-14 09:01:25.745973+10
81,Battery-14,2.3799,2.3832,3.3,64.5,-0.19,-0.12,235.3,0,2023-06-14 09:02:25.315788+10
81,Battery-14,2.3855,2.3903,4.8,64.5,9.12,0.11,234.5,-30,2023-06-14 09:03:24.771726+10
81,Battery-14,2.3882,2.3942,6,64.5,9.12,0.21,234.6,-30,2023-06-14 09:04:23.829754+10
81,Battery-14,2.3896,2.3953,5.7,65,9.19,0.21,234,-30,2023-06-14 09:05:24.468783+10
81,Battery-14,2.3907,2.3965,5.8,65,9.19,0.21,234,-30,2023-06-14 09:06:23.755448+10
81,Battery-14,2.3919,2.3965,4.6,65,9.15,0.21,232.7,-30,2023-06-14 09:07:24.438461+10
81,Battery-14,2.394,2.4006,6.6,65.5,12.23,0.18,232.5,-40,2023-06-14 09:08:23.637333+10
81,Battery-14,2.3952,2.4017,6.5,65.5,12.1,0.21,233.2,-40,2023-06-14 09:09:23.962994+10
81,Battery-14,2.3964,2.4027,6.3,66,12.2,0.21,234.5,-40,2023-06-14 09:10:24.902009+10
81,Battery-14,2.3975,2.4027,5.2,66.5,12.13,0.21,236.6,-40,2023-06-14 09:11:24.930773+10
81,Battery-14,2.3975,2.4051,7.6,66.5,12.23,0.21,236.8,-40,2023-06-14 09:12:31.81786+10
81,Battery-14,2.4013,2.4087,7.4,67,15.15,0.24,236,-50,2023-06-14 09:13:26.287624+10
81,Battery-14,2.4023,2.41,7.7,67.5,15.15,0.24,233,-50,2023-06-14 09:14:56.451209+10
81,Battery-14,2.4034,2.4112,7.8,68,15.15,0.21,232.6,-50,2023-06-14 09:16:01.063331+10
81,Battery-14,2.4057,2.4137,8,68.5,15.12,0.24,230.5,-50,2023-06-14 09:17:38.459986+10
81,Battery-14,2.4057,2.4137,8,68.5,15.12,0.24,230.5,-50,2023-06-14 09:17:56.370025+10
81,Battery-14,2.4067,2.4148,8.1,68.5,15.08,0.24,232,-50,2023-06-14 09:18:33.567155+10
81,Battery-14,2.4104,2.4186,8.2,69,18.03,0.28,231.6,-60,2023-06-14 09:19:24.476487+10
81,Battery-14,2.4116,2.4199,8.3,69.5,18.13,0.28,232.1,-60,2023-06-14 09:20:26.841232+10
81,Battery-14,2.4127,2.4215,8.8,70,18.13,0.28,232.6,-60,2023-06-14 09:21:25.267058+10
81,Battery-14,2.4138,2.4238,10,70.5,18.13,0.31,233.6,-60,2023-06-14 09:22:25.550679+10
81,Battery-14,2.4176,2.4292,11.6,71,21.21,0.41,230.8,-70,2023-06-14 09:23:25.018416+10
81,Battery-14,2.4199,2.4305,10.6,71.5,21.04,0.34,231.3,-70,2023-06-14 09:24:26.308865+10
81,Battery-14,2.4211,2.4328,11.7,72,21.08,0.34,232,-70,2023-06-14 09:25:24.686651+10
81,Battery-14,2.4236,2.434,10.4,72.5,21.14,0.41,233.7,-70,2023-06-14 09:26:24.880756+10
81,Battery-14,2.4258,2.437,11.2,73,21.01,0.34,233.6,-70,2023-06-14 09:27:25.586687+10
81,Battery-14,2.4287,2.441,12.3,73.5,23.99,0.41,231.2,-80,2023-06-14 09:28:24.411001+10
81,Battery-14,2.4321,2.4445,12.4,74,24.13,0.38,231.6,-80,2023-06-14 09:29:24.790818+10
81,Battery-14,2.4333,2.4457,12.4,74.5,24.03,0.41,232.6,-80,2023-06-14 09:30:27.60355+10
81,Battery-14,2.436,2.4495,13.5,75,24.09,0.48,235.6,-80,2023-06-14 09:31:26.098668+10
81,Battery-14,2.4384,2.4508,12.4,75.5,24.16,0.41,235,-80,2023-06-14 09:32:36.201416+10
81,Battery-14,2.4441,2.4584,14.3,77,27.01,0.44,233,-90,2023-06-14 09:34:27.078092+10
81,Battery-14,2.4452,2.4599,14.7,77,27.04,0.44,231.6,-90,2023-06-14 09:34:55.357141+10
81,Battery-14,2.4481,2.4613,13.2,77.5,26.97,0.41,232.2,-90,2023-06-14 09:35:26.132712+10
81,Battery-14,2.4504,2.4637,13.3,78,27.07,0.51,232.7,-90,2023-06-14 09:36:26.126177+10
81,Battery-14,2.4528,2.4666,13.8,78.5,27.01,0.48,230,-90,2023-06-14 09:37:26.674488+10
81,Battery-14,2.4577,2.4727,15,79.5,29.99,0.51,231.5,-100,2023-06-14 09:38:25.944737+10
81,Battery-14,2.4601,2.4762,16.1,80,30.05,0.48,231,-100,2023-06-14 09:39:25.789147+10
81,Battery-14,2.4637,2.4791,15.4,80.5,30.09,0.48,231,-100,2023-06-14 09:40:25.228032+10
81,Battery-14,2.4674,2.4843,16.9,81.5,29.92,0.44,231.8,-100,2023-06-14 09:41:25.904981+10
81,Battery-14,2.47,2.4854,15.4,82,30.05,0.51,232,-100,2023-06-14 09:42:27.390311+10
81,Battery-14,2.4756,2.4911,15.5,83,29.92,0.44,232.1,-100,2023-06-14 09:43:54.981679+10
81,Battery-14,2.478,2.4961,18.1,84,30.12,0.41,230.1,-100,2023-06-14 09:44:47.258832+10
81,Battery-14,2.482,2.4995,17.5,84.5,29.89,0.48,230.7,-100,2023-06-14 09:45:54.209468+10
81,Battery-14,2.4834,2.5017,18.3,85,29.99,0.44,231,-100,2023-06-14 09:46:26.014005+10
81,Battery-14,2.4873,2.5032,15.9,85.5,30.02,0.44,231.6,-100,2023-06-14 09:47:24.64494+10
81,Battery-14,2.4916,2.509,17.4,86.5,30.05,0.44,231.8,-100,2023-06-14 09:48:54.208812+10
81,Battery-14,2.4927,2.5116,18.9,87,29.89,0.41,231.6,-100,2023-06-14 09:49:24.642984+10
81,Battery-14,2.4971,2.5143,17.2,87.5,30.05,0.48,228.4,-100,2023-06-14 09:50:33.487494+10
81,Battery-14,2.5012,2.5184,17.2,88.5,29.99,0.54,228.8,-100,2023-06-14 09:51:25.109891+10
81,Battery-14,2.5049,2.5221,17.2,89,30.05,0.44,229.1,-100,2023-06-14 09:52:25.264859+10
81,Battery-14,2.4943,2.5049,10.6,89.5,9.15,0.18,232.5,-30,2023-06-14 09:53:40.038801+10
81,Battery-14,2.4943,2.5049,10.6,90,9.09,0.18,232.9,-30,2023-06-14 09:54:24.903952+10
81,Battery-14,2.4943,2.5061,11.8,90,9.15,0.18,233.1,-30,2023-06-14 09:55:24.924071+10
81,Battery-14,2.4957,2.5073,11.6,90,9.12,0.14,236.4,-30,2023-06-14 09:56:25.701962+10
81,Battery-14,2.4982,2.5085,10.3,90.5,9.12,0.14,236.4,-30,2023-06-14 09:57:24.692485+10
81,Battery-14,2.501,2.511,10,90.5,9.12,0.11,236.9,-30,2023-06-14 09:58:24.898368+10
81,Battery-14,2.501,2.511,10,90.5,9.12,0.18,236.8,-30,2023-06-14 09:59:29.491614+10
81,Battery-14,2.5035,2.5132,9.7,91,9.09,0.18,236,-30,2023-06-14 10:00:45.274114+10
81,Battery-14,2.5035,2.5144,10.9,91,9.19,0.11,235.9,-30,2023-06-14 10:01:54.20041+10
81,Battery-14,2.5035,2.5144,10.9,91.5,9.15,0.18,235,-30,2023-06-14 10:02:25.343024+10
81,Battery-14,2.5063,2.5159,9.6,91.5,9.12,0.18,234.6,-30,2023-06-14 10:03:24.994529+10
81,Battery-14,2.5075,2.5172,9.7,92,9.15,0.18,235.4,-30,2023-06-14 10:04:24.89984+10
81,Battery-14,2.5075,2.5186,11.1,92,9.09,0.14,234.9,-30,2023-06-14 10:05:25.545945+10
81,Battery-14,2.5098,2.5186,8.8,92,9.15,0.14,235.6,-30,2023-06-14 10:06:25.78817+10
81,Battery-14,2.5098,2.5199,10.1,92.5,9.12,0.21,236.1,-30,2023-06-14 10:07:25.843446+10
81,Battery-14,2.511,2.5199,8.9,92.5,9.09,0.18,237,-30,2023-06-14 10:08:25.598059+10
81,Battery-14,2.511,2.5199,8.9,92.5,9.05,0.18,237.6,-30,2023-06-14 10:09:24.570208+10
81,Battery-14,2.5121,2.5222,10.1,93,9.09,0.11,237.1,-30,2023-06-14 10:10:24.93326+10
81,Battery-14,2.5137,2.5233,9.6,93,9.15,0.14,236.9,-30,2023-06-14 10:11:26.363126+10
81,Battery-14,2.5137,2.5233,9.6,93.5,9.19,0.11,237.4,-30,2023-06-14 10:12:27.085985+10
81,Battery-14,2.5163,2.5246,8.3,93.5,9.19,0.11,238,-30,2023-06-14 10:13:44.340812+10
81,Battery-14,2.5163,2.5246,8.3,94,9.12,0.11,238.2,-30,2023-06-14 10:14:24.933967+10
81,Battery-14,2.5176,2.5256,8,94,9.12,0.14,236.6,-30,2023-06-14 10:15:25.797145+10
81,Battery-14,2.5191,2.5268,7.7,94,9.15,0.14,235,-30,2023-06-14 10:16:25.445808+10
81,Battery-14,2.5191,2.5268,7.7,94.5,9.09,0.14,234.5,-30,2023-06-14 10:17:54.298492+10
81,Battery-14,2.5203,2.5268,6.5,94.5,9.15,0.11,234.9,-30,2023-06-14 10:18:29.449965+10
81,Battery-14,2.5203,2.5284,8.1,94.5,9.09,0.14,235,-30,2023-06-14 10:19:25.070782+10
81,Battery-14,2.5215,2.5294,7.9,95,9.15,0.18,233.1,-30,2023-06-14 10:20:25.701709+10
81,Battery-14,2.5215,2.5294,7.9,95,9.12,0.14,233.6,-30,2023-06-14 10:21:25.228145+10
81,Battery-14,2.5215,2.5305,9,95.5,9.09,0.18,234.7,-30,2023-06-14 10:22:25.977995+10
81,Battery-14,2.5227,2.5315,8.8,95.5,9.09,0.18,234.5,-30,2023-06-14 10:23:25.342666+10
81,Battery-14,2.5238,2.5327,8.9,96,9.09,0.14,234,-30,2023-06-14 10:24:25.107676+10
81,Battery-14,2.5238,2.5342,10.4,96,9.12,0.18,232.6,-30,2023-06-14 10:25:25.072134+10
81,Battery-14,2.5187,2.5275,8.8,96,-0.22,-0.02,236.1,0,2023-06-14 10:26:24.505646+10
81,Battery-14,2.5141,2.5232,9.1,96,-0.25,-0.12,235.9,0,2023-06-14 10:27:25.842202+10
81,Battery-14,2.5014,2.5125,11.1,96,-9.2,-0.02,238.3,30,2023-06-14 10:28:54.589326+10
81,Battery-14,2.5,2.5103,10.3,95.5,-9.26,-0.02,237.6,30,2023-06-14 10:29:26.324768+10
81,Battery-14,2.4988,2.5082,9.4,95.5,-9.2,-0.05,237.8,30,2023-06-14 10:30:31.589717+10
81,Battery-14,2.4945,2.5026,8.1,94.5,-9.26,-0.02,237.8,30,2023-06-14 10:34:21.447509+10
81,Battery-14,2.4945,2.5026,8.1,94.5,-9.16,-0.02,237,30,2023-06-14 10:34:38.205657+10
81,Battery-14,2.4934,2.5026,9.2,94.5,-9.2,-0.02,237.5,30,2023-06-14 10:35:08.138228+10
81,Battery-14,2.4934,2.5026,9.2,94.5,-9.2,-0.02,237.5,30,2023-06-14 10:35:25.4068+10
81,Battery-14,2.4934,2.5014,8,94,-9.26,-0.02,237.6,30,2023-06-14 10:35:57.557782+10
81,Battery-14,2.4921,2.5014,9.3,94,-9.23,0.01,237.4,30,2023-06-14 10:36:28.291651+10
81,Battery-14,2.4921,2.5003,8.2,94,-9.26,0.01,235,30,2023-06-14 10:37:26.851956+10
81,Battery-14,2.491,2.4992,8.2,93.5,-9.2,-0.02,236.1,30,2023-06-14 10:38:55.632026+10
81,Battery-14,2.491,2.4992,8.2,93.5,-9.2,-0.02,237.1,30,2023-06-14 10:39:27.044198+10
81,Battery-14,2.4887,2.4981,9.4,93,-9.23,0.01,236.8,30,2023-06-14 10:40:30.272066+10
81,Battery-14,2.4887,2.4981,9.4,93,-9.26,0.01,236,30,2023-06-14 10:41:28.779778+10
81,Battery-14,2.4874,2.497,9.6,92.5,-9.26,0.01,236.5,30,2023-06-14 10:42:26.214531+10
81,Battery-14,2.4874,2.4959,8.5,92.5,-9.3,-0.02,236.6,30,2023-06-14 10:43:26.777556+10
81,Battery-14,2.4847,2.4948,10.1,92.5,-9.23,-0.02,236.9,30,2023-06-14 10:44:25.430062+10
81,Battery-14,2.4836,2.4925,8.9,92,-9.23,-0.02,234.6,30,2023-06-14 10:45:59.539331+10
81,Battery-14,2.4821,2.4925,10.4,91.5,-9.26,-0.02,236.6,30,2023-06-14 10:47:30.85126+10
81,Battery-14,2.4788,2.4893,10.5,91,-9.23,-0.02,236.9,30,2023-06-14 10:49:15.758473+10
81,Battery-14,2.4788,2.4882,9.4,91,-9.2,-0.02,236.8,30,2023-06-14 10:49:55.327594+10
81,Battery-14,2.4788,2.4882,9.4,91,-9.23,-0.02,236.1,30,2023-06-14 10:50:28.696393+10
81,Battery-14,2.476,2.4871,11.1,90.5,-9.23,-0.02,237.1,30,2023-06-14 10:51:26.025271+10
81,Battery-14,2.476,2.486,10,90.5,-9.26,-0.02,236,30,2023-06-14 10:52:25.173064+10
81,Battery-14,2.4741,2.4835,9.4,90,-9.26,-0.02,235,30,2023-06-14 10:53:54.613536+10
81,Battery-14,2.4723,2.4824,10.1,90,-9.26,-0.02,235.5,30,2023-06-14 10:55:00.009247+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:07:12.122575+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:08:51.31652+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:08:58.51088+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:09:05.10303+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:09:10.968895+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:09:17.343091+10
81,Battery-14,2.459,2.4685,9.5,87,-9.23,-0.05,239.3,30,2023-06-14 11:09:23.76638+10
