high_voltage_feeder_uuid,interval_ts,high_voltage_feeder_id,red_voltage_min_lvt,red_voltage_max_lvt,red_voltage_avg_lvt,red_voltage_stddev_r,red_voltage_variance_r,red_current_sum_lct,red_count_z,white_voltage_min_lvt,white_voltage_max_lvt,white_voltage_avg_lvt,white_voltage_stddev_r,white_voltage_variance_r,white_current_sum_lct,white_count_z,blue_voltage_min_lvt,blue_voltage_max_lvt,blue_voltage_avg_lvt,blue_voltage_stddev_r,blue_voltage_variance_r,blue_current_sum_lct,blue_count_z,all_voltage_min_lvt,all_voltage_max_lvt,all_voltage_avg_lvt,all_voltage_stddev_r,all_voltage_variance_r,all_current_sum_lct,all_count_z
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 16:40:00.000000 +11:00,390,221.26,247.21,239.13753,3.3868747,11.47092,777.1253,761,225.06,247.13,238.69025,3.5506299,12.606973,414.55197,641,230.87,250.48,239.64157,3.0112739,9.067771,221.48396,645,221.26,250.48,239.62408,3.3725922,11.374378,2014.4369,2728
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 16:35:00.000000 +11:00,390,220.93,249.11,239.3379,3.5330775,12.482636,976.085,758,227.83,246.65,238.91925,3.2906904,10.828644,675.01025,639,230.01,247.76,239.55077,2.7144172,7.3680606,519.69745,641,220.93,249.46,239.8911,3.3708498,11.362629,2508.7002,2722
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 16:30:00.000000 +11:00,390,223.88,248.92,239.70576,3.4264786,11.740755,817.19055,753,229.22,247.44,239.66808,3.08896,9.541674,554.1296,633,227.69,248.26,240.16328,2.897663,8.396451,408.04437,637,223.88,249.44,240.39308,3.2673082,10.675303,1975.4785,2704
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:30:00.000000 +11:00,390,228.79,246.1,238.71396,2.8200493,7.9526777,1325.4784,752,227.93,245.38,238.2277,2.7829664,7.7449017,1009.74945,638,226.84,246.46,240.22765,2.5585487,6.5461717,957.88293,638,226.84,247.16,239.42575,2.9788353,8.87346,4415,2716
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:25:00.000000 +11:00,390,228.32,246.4,238.59358,2.841472,8.073963,1329.3241,757,227.67,244.88,238.07738,2.788721,7.7769647,1000.6895,640,226.58,246.62,240.15434,2.6022804,6.771863,977.19617,640,226.58,246.62,239.3098,2.9884355,8.930747,4368.0186,2725
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 02:55:00.000000 +11:00,390,230.69,246.46,239.18587,2.7252696,7.427094,1208.7705,758,228.24,245.69,238.43848,2.7804222,7.730748,928.08276,641,228.24,247.35,240.65215,2.6213677,6.871569,891.8286,641,225.54,247.35,239.78151,2.9991043,8.994626,4162.038,2727
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 02:50:00.000000 +11:00,390,231.14,249.49,239.50233,2.7935436,7.8038855,1180.8619,758,229.26,245.65,238.66107,2.8004966,7.8427815,879.6363,641,229.57,247.76,240.77751,2.6108375,6.816472,852.3402,642,225.75,249.49,240.01425,3.0195835,9.117885,4056.8022,2724
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 02:45:00.000000 +11:00,390,230.84,248.23,238.7985,2.7836626,7.748777,1251.3104,761,225.26,243.94,237.74077,2.857445,8.164991,947.23883,645,230.98,247.35,240.16985,2.6307516,6.920854,841.5922,645,221.97,248.23,239.26028,3.0770452,9.468207,4226.66,2735
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:05:00.000000 +11:00,390,230.73,245.42,238.93712,2.5747385,6.629278,1322.8228,752,222.3,245.51,238.32352,2.9880486,8.928434,992.48535,636,224.19,246.42,240.10434,2.7078793,7.3326106,984.68475,636,222.3,246.42,239.50868,2.9579577,8.749515,4379.7876,2709
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:00:00.000000 +11:00,390,228.8,245.7,238.78253,2.7545462,7.587524,1333.5236,748,228.02,245.43,238.48698,2.8924668,8.366364,981.62946,631,229.42,246.56,240.3722,2.6414895,6.9774666,928.594,633,228.02,246.56,239.58597,2.998346,8.99008,4318.3574,2702
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:55:00.000000 +11:00,390,231.53,246.2,238.90747,2.7433562,7.5260034,1361.4153,755,225.15,244.97,238.39215,3.0567734,9.3438635,1013.61755,638,229.36,246.85,240.4262,2.5576155,6.5413966,958.4239,639,225.15,246.85,239.61237,3.0294778,9.177736,4349.7603,2714
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:50:00.000000 +11:00,390,230.66,245.65,238.60031,2.7552903,7.5916243,1338.8441,747,227.94,244.7,238.3493,2.8138342,7.917663,938.03125,632,229.59,246.67,240.19705,2.5721831,6.6161265,899.443,633,224,246.67,239.40424,2.9900212,8.940227,4269.489,2702
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:45:00.000000 +11:00,390,230.97,245.34,238.82912,2.542996,6.4668283,1331.068,749,228.09,245.24,238.18587,2.9800677,8.880804,963.86066,636,229.57,246.93,240.45055,2.6501467,7.023278,907.18274,635,223.45,246.93,239.49959,3.057785,9.35005,4330.5156,2710
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:40:00.000000 +11:00,390,230.74,245.53,238.93419,2.6129346,6.827427,1270.8314,749,227.87,245.62,238.28453,2.9966893,8.980146,953.44403,634,230.29,247.02,240.57785,2.5224576,6.362792,898.14813,633,222.96,247.02,239.6198,3.0210872,9.126968,4226.9946,2699
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:35:00.000000 +11:00,390,230.68,245.47,238.96002,2.5666108,6.5874906,1252.5568,758,227.77,245.75,238.4265,2.9288893,8.578392,935.95874,642,230.49,247.4,240.52371,2.4751747,6.126489,878.4433,643,223.02,247.4,239.66019,2.9797873,8.879133,4177.731,2730
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:30:00.000000 +11:00,390,230.74,245.62,239.23033,2.5224159,6.362582,1197.6108,752,227.69,245.2,238.44135,2.938051,8.632144,929.4616,638,230.04,247.34,240.51277,2.6478488,7.0111036,909.68005,638,226.78,247.34,239.76712,2.9688113,8.813841,4172.5537,2712
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:15:00.000000 +11:00,390,231.34,246.12,239.10542,2.6936557,7.255781,1320.986,747,229.17,245.68,238.74461,2.8103087,7.8978343,880.41034,631,230.51,247.53,240.66562,2.65862,7.0682607,951.08276,634,229.17,247.53,239.89609,2.979107,8.875077,4259.712,2700
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:10:00.000000 +11:00,390,227.27,245.45,238.48709,2.7732916,7.691146,1291.824,753,227.9,244.64,238.04391,2.9166045,8.506582,921.6703,639,230.14,247.13,240.26497,2.6907754,7.240272,861.2899,637,227.27,247.13,239.31876,3.0597897,9.362313,4167.54,2717
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:05:00.000000 +11:00,390,231.54,245.62,239.1447,2.5365615,6.4341445,1237.9813,750,225.78,245.04,238.24463,2.9540668,8.72651,933.33295,635,227.56,247.32,240.51521,2.6551864,7.0500145,915.6502,637,225.59,247.32,239.67734,3.0274813,9.165644,4215.4165,2707
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 03:00:00.000000 +11:00,390,231.09,246.72,239.18463,2.7066348,7.3258715,1190.6827,749,228.81,245.44,238.39868,2.7969053,7.822679,928.015,634,228.21,247.53,240.76527,2.6458206,7.000366,861.98,632,225.47,247.53,239.79428,3.0250401,9.150867,4114.242,2699
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:10:00.000000 +11:00,390,228.27,246.5,239.2064,2.7792156,7.7240396,1378.439,756,223.4,244.96,238.661,2.9048333,8.438056,1005.7622,640,224.76,247.06,240.54921,2.778797,7.721712,951.823,641,223.4,247.06,239.8512,3.0357854,9.215994,4403.6816,2724
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 21:35:00.000000 +11:00,390,226.56,246.51,237.77667,3.1762853,10.088788,1810.9152,757,221.88,244.26,237.11525,3.179482,10.109105,1418.4436,635,229.52,246.96,240.05084,2.99527,8.9716425,1336.5726,640,221.88,247.24,238.98418,3.5615122,12.68437,6125.6963,2711
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:15:00.000000 +11:00,390,228.54,246,238.41096,2.9694595,8.81769,1418.9977,758,222.8,244.53,238.10338,3.011332,9.06812,1049.7781,642,228.2,246.3,240.12952,2.5597537,6.552339,987.4286,642,222.8,246.3,239.2551,3.0727262,9.441647,4491.329,2729
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:20:00.000000 +11:00,390,228.4,245.9,238.4307,2.9837098,8.902525,1414.999,755,222.7,245,238.26811,2.8899043,8.351546,1024.8269,641,226.63,246.25,240.1699,2.60504,6.786234,993.589,639,222.7,246.25,239.33302,3.051408,9.31109,4415.01,2718
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 05:00:00.000000 +11:00,390,227.61,247.29,238.32632,2.9838758,8.903515,1339.7552,751,227.55,244.48,237.90671,2.7648094,7.6441703,1025.7184,635,224.28,245.73,239.77191,2.526527,6.383338,1028.5753,634,224.28,247.29,239.03261,2.9962823,8.977708,4514.597,2708
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:55:00.000000 +11:00,390,228.04,247.75,238.46707,3.0093532,9.056206,1307.261,752,225.44,245.02,238.02919,2.905233,8.440378,1032.3876,634,224.94,245.86,239.9028,2.4806035,6.1533933,1041.4839,634,224.94,247.75,239.15184,3.0311184,9.187679,4484.466,2705
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:50:00.000000 +11:00,390,227.92,246.3,238.53368,2.8739355,8.259505,1358.1241,752,227.53,245.25,238.1465,2.8336017,8.029299,1011.6095,637,227.06,246.56,240.09183,2.5886476,6.701096,1007.4651,638,227.06,246.56,239.27698,3.0216188,9.13018,4487.8945,2713
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:45:00.000000 +11:00,390,228.3,246.4,238.8948,2.802917,7.8563437,1354.1401,755,226.91,245.15,238.30426,2.782855,7.7442822,1053.3011,639,227.97,246.24,240.2423,2.5018036,6.2590218,977.96515,639,226.91,246.4,239.50244,2.9535341,8.723364,4533.435,2719
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:40:00.000000 +11:00,390,228.74,246.5,239.03737,2.882909,8.311165,1337.7418,754,228.1,244.88,238.60071,2.7317379,7.4623923,1000.42914,637,228.06,246.63,240.45883,2.5116405,6.308338,952.1701,637,228.06,246.63,239.72646,2.944894,8.672401,4439.4863,2718
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 04:35:00.000000 +11:00,390,228.83,246.3,239.27577,2.778151,7.7181234,1322.8344,754,226.2,245.28,238.71378,2.901515,8.41879,986.1392,637,228.32,246.74,240.44586,2.6187642,6.857926,1015.0549,638,226.2,247.02,239.84862,2.9815543,8.889667,4493.688,2717
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 21:50:00.000000 +11:00,390,226.44,246.95,238.30247,3.2170238,10.349242,1814.2902,749,223.02,245.77,237.93187,3.1608527,9.99099,1338.9061,631,226.3,248.12,240.91396,3.1088128,9.664718,1320.4906,634,223.02,248.64,239.68967,3.602614,12.978827,6087.116,2694
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 21:45:00.000000 +11:00,390,224.91,246.97,237.75473,3.2340877,10.459324,1791.94,764,227.5,244.62,237.55473,3.0277336,9.167171,1388.9336,644,228.47,246.8,240.10713,2.9248314,8.554639,1297.157,646,224.91,247.48,239.09549,3.470511,12.044447,6074.5327,2740
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:50:00.000000 +11:00,390,224.1,246.8,237.68677,3.5868497,12.865491,1353.1205,755,224.37,248.4,237.13365,3.45126,11.911196,1008.585,635,227.08,250.86,238.56718,3.4188514,11.688545,744.7401,639,224.1,250.86,238.53506,3.6890788,13.6093025,3969.2314,2713
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:45:00.000000 +11:00,390,220.33,249.08,238.14143,3.708089,13.749926,1262.8059,760,224.14,248.3,237.25714,3.5971422,12.939432,864.45355,641,226.89,245.89,239.10303,2.755753,7.5941753,642.0714,643,220.33,249.08,238.83253,3.5792687,12.811164,3729.2456,2721
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:30:00.000000 +11:00,390,223.96,252.16,238.84636,3.7267218,13.888454,937.3692,753,221.53,246.69,238.10167,3.5543694,12.633542,627.061,635,225.28,245.72,239.45255,2.7637212,7.6381555,474.52725,639,221.53,252.16,239.39207,3.5487385,12.593545,2776.1335,2708
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:25:00.000000 +11:00,390,224.2,248.5,237.7982,3.340306,11.157644,1244.6476,750,223.36,247.36,237.83482,3.5343,12.491278,754.464,631,225.49,245.29,239.10345,2.5779426,6.6457877,653.28467,635,223.36,248.5,238.81879,3.382023,11.438081,3715.0154,2702
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:20:00.000000 +11:00,390,225.14,246.9,237.5616,3.2994905,10.886638,1433.9309,753,221.36,246.03,237.58105,3.6986225,13.679809,891.8283,634,225.41,245.68,238.75865,2.670681,7.132537,826.13617,637,221.36,246.9,238.55678,3.430193,11.766223,4286.139,2701
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:15:00.000000 +11:00,390,222.23,245.96,237.24483,3.7551131,14.100874,1760.6488,751,222.48,247.95,237.58652,3.835461,14.710761,1254.507,633,225.6,245.84,238.70023,2.7479477,7.551217,1210.5516,636,222.23,247.95,238.56912,3.681346,13.552307,5243.1616,2706
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:10:00.000000 +11:00,390,222.17,247.03,238.68466,3.5605202,12.677304,1402.7834,754,220.27,246.47,238.56049,3.8789556,15.046296,910.575,635,226.36,248.23,239.51544,2.9185798,8.518108,849.05396,640,220.27,249.33,239.55937,3.568244,12.732366,3999.2761,2715
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:05:00.000000 +11:00,390,223.24,248.89,239.30545,3.6131034,13.054517,786.6263,757,221.55,250.1,238.84413,3.892963,15.15516,478.16055,638,228.52,246.1,239.69063,2.8141117,7.9192243,330.32086,640,221.55,250.45,239.90773,3.6086154,13.022104,1867.6382,2715
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 17:00:00.000000 +11:00,390,226.97,248.23,238.64519,3.5066583,12.296653,957.7131,758,222.14,247.1,237.99329,4.0738935,16.596607,666.98474,639,228.11,245.22,239.06267,2.776028,7.706331,437.06085,641,222.14,248.63,239.2342,3.6309772,13.183994,2318.1782,2717
68d04df6-fa1f-4908-a90e-20a079ef491c,2023-02-08 16:55:00.000000 +11:00,390,224.62,248.28,238.85551,3.5300977,12.46159,695.47626,751,224.23,249.8,238.20073,3.8814497,15.065651,499.82495,632,230.31,246.57,239.31276,2.7494428,7.559436,306.35034,634,224.23,249.8,239.4029,3.513309,12.34334,1852.3756,2703
