meter_id,meter_serial_num,nic_mac_id,meter_description,has_solar_yn,premise_id,supply_point_id,supply_point_gis_id,low_voltage_circuit_id,lv_circuit,distribution_substation_id,substation_gis_id,substation_name,switch_zone_id,switch_zone,switch_zone_hierarchy,high_voltage_feeder_id,hv_feeder,station_busbar_id,station_busbar_name,zone_substation_id,zone_substation
315879,641489,0013500300038d50,"METER, AMI, 1PH,1E, NO LOAD CONTROL",Y,158689,509110,100355374,42895,LV3 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
124068,651463,0013500300072bc7,"METER, AMI, 1PH,1E, NO LOAD CONTROL",Y,474303,511623,100353454,42894,LV2 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
204588,1157176,001350030016cbf9,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,286744,97499,100357289,42893,LV1 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
461995,786687,00135003000dc2c4,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,295190,335874,100363169,26436,LV1 INGLIS BUTLER,8539,49389372,INGLIS BUTLER,393,MT0295,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295,390,MTN35,44,MTN_1,24,MTN
149866,1157140,001350030016cbd3,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,517678,332831,100362869,26436,LV1 INGLIS BUTLER,8539,49389372,INGLIS BUTLER,393,MT0295,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295,390,MTN35,44,MTN_1,24,MTN
249367,1306481,0013500300308f94,"METER, AMI, 3PH, NO LOAD CONTROL",N,625122,540478,164868263,42894,LV2 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
400619,762983,00135003000b5a24,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,224416,35653,100353639,42894,LV2 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
23784,1321612,00135003003459a6,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,384584,509620,100355444,42895,LV3 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
400884,759228,00135003000b6fae,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,236001,399235,100361904,26436,LV1 INGLIS BUTLER,8539,49389372,INGLIS BUTLER,393,MT0295,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295,390,MTN35,44,MTN_1,24,MTN
563101,648990,1.35E+17,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,426401,331146,100354799,42893,LV1 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
121858,734555,00135003000ae0b3,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,793039,195202,100361224,26436,LV1 INGLIS BUTLER,8539,49389372,INGLIS BUTLER,393,MT0295,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295,390,MTN35,44,MTN_1,24,MTN
409363,788213,00135003000e1ef2,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,230621,417159,100352894,42894,LV2 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
126573,801612,00135003000df42a,"METER, AMI, 1PH,1E, NO LOAD CONTROL",N,553589,83030,116324192,42893,LV1 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
768717,1385688,0013500500dff99c,"METER, AMI, 1PH,1E, NO LOAD CONTROL",Y,593047,234800,100357384,42893,LV1 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
336806,707338,0013500300090f06,"METER, AMI, 1PH,1E, NO LOAD CONTROL",Y,490532,285981,100355839,42895,LV3 BARKLY MORVEN,12226,79451911,BARKLY MORVEN,4441,MT0361,MT9735-MT7558-MT0348-MT7798-MT7406-MT7822-MT0295-MT7378-MT0361,390,MTN35,44,MTN_1,24,MTN
