zone_substation_uuid,interval_ts,zone_substation_id,child_count_z,channels_reported_z,recommend_sample_b,recommend_final_b,voltage_202_z,voltage_203_z,voltage_204_z,voltage_205_z,voltage_206_z,voltage_207_z,voltage_208_z,voltage_209_z,voltage_210_z,voltage_211_z,voltage_212_z,voltage_213_z,voltage_214_z,voltage_215_z,voltage_216_z,voltage_217_z,voltage_218_z,voltage_219_z,voltage_220_z,voltage_221_z,voltage_222_z,voltage_223_z,voltage_224_z,voltage_225_z,voltage_226_z,voltage_227_z,voltage_228_z,voltage_229_z,voltage_230_z,voltage_231_z,voltage_232_z,voltage_233_z,voltage_234_z,voltage_235_z,voltage_236_z,voltage_237_z,voltage_238_z,voltage_239_z,voltage_240_z,voltage_241_z,voltage_242_z,voltage_243_z,voltage_244_z,voltage_245_z,voltage_246_z,voltage_247_z,voltage_248_z,voltage_249_z,voltage_250_z,voltage_251_z,voltage_252_z,voltage_253_z,voltage_254_z,voltage_255_z,voltage_256_z,voltage_257_z,voltage_258_z,voltage_259_z,voltage_260_z,voltage_261_z,voltage_262_z,voltage_263_z,voltage_264_z,voltage_265_z,voltage_266_z,voltage_267_z,voltage_268_z,voltage_269_z,voltage_270_z,voltage_271_z,voltage_272_z,voltage_273_z,voltage_274_z,voltage_275_z,voltage_276_z,voltage_277_z,voltage_278_z,total_voltage_under_z,total_voltage_good_z,total_voltage_over_z,voltage_under_185_z,voltage_over_280_z,voltage_185_z,voltage_186_z,voltage_187_z,voltage_188_z,voltage_189_z,voltage_190_z,voltage_191_z,voltage_192_z,voltage_193_z,voltage_194_z,voltage_195_z,voltage_196_z,voltage_197_z,voltage_198_z,voltage_199_z,voltage_200_z,voltage_201_z,voltage_279_z,voltage_280_z
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 21:20:00.000000 +11:00,24,33760,32032,true,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,17,24,52,57,78,137,354,609,741,812,989,1540,2030,3574,4620,3386,2660,2669,1757,1906,1437,907,902,571,106,59,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32032,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 21:40:00.000000 +11:00,24,33760,32099,true,true,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,7,5,6,15,24,35,65,84,133,329,611,721,667,871,1576,2167,3988,4317,3215,2892,2821,1803,1789,1431,683,900,636,180,70,30,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32096,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 23:40:00.000000 +11:00,24,33760,32118,true,true,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5,1,4,3,2,2,4,3,22,17,32,52,103,319,721,831,779,877,1102,2389,4454,4830,4305,2788,1330,1483,2167,1476,1285,577,92,33,14,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32114,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 23:30:00.000000 +11:00,24,33760,32079,true,true,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8,8,6,6,6,18,31,27,61,91,229,577,810,761,844,1052,1865,4147,4757,4276,3439,1651,1362,1890,1699,1344,824,208,39,27,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32076,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-09 00:10:00.000000 +11:00,24,33760,32046,true,true,0,0,1,1,2,1,4,5,2,7,13,6,6,4,8,8,10,17,46,46,75,90,166,184,271,403,711,804,898,1052,1388,2253,3083,3638,3129,3145,2844,1864,1803,1499,836,953,590,124,35,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,31986,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-09 00:30:00.000000 +11:00,24,33760,32080,true,true,0,0,0,0,3,2,0,1,5,4,1,2,7,3,4,7,11,19,21,41,48,38,71,146,218,233,466,720,902,897,1205,1502,2209,3419,3785,3210,3167,2622,1593,1772,1483,811,979,322,65,53,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32048,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-09 00:35:00.000000 +11:00,24,33760,32093,true,true,0,0,0,0,0,0,0,0,0,3,5,0,8,8,3,5,6,19,21,34,42,36,66,112,174,210,333,602,822,978,1086,1352,2063,3112,3926,3241,3086,3018,1736,1774,1605,900,1014,510,101,63,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32066,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 01:20:00.000000 +11:00,24,33754,32064,true,true,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,3,7,11,6,8,16,25,38,40,74,120,238,417,693,750,872,1138,1660,2833,4078,3979,4185,3008,1337,1740,1660,1303,1136,471,128,60,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32059,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 01:40:00.000000 +11:00,24,33754,32099,true,true,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,8,10,3,8,13,27,31,46,57,71,175,441,630,810,939,1034,1357,2850,4555,4481,4129,2597,1273,1751,1732,1406,1093,392,105,54,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32096,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 01:45:00.000000 +11:00,24,33754,32061,true,true,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,9,6,5,8,13,16,18,35,38,58,78,298,552,786,824,955,1206,2058,3705,4755,4327,3514,1533,1522,1756,1565,1292,820,222,51,18,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32057,0,,,,,,,,,,,,,,,,,,,,,
44837d38-296b-4d13-a126-17760c19d8aa,2023-02-08 01:50:00.000000 +11:00,24,33754,32045,true,true,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,7,6,8,8,2,15,20,39,37,51,118,330,582,838,827,939,1206,2261,3905,4642,4613,3212,1415,1441,1666,1630,1313,654,182,49,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32042,0,,,,,,,,,,,,,,,,,,,,,
