meter_id,meter_consumption_reading_type_id,start_timestamptz_ts,active_consumption_kwh,active_generation_kwh,reactive_consumption_kvarh,reactive_generation_kvarh
312419,1,2023-04-12 00:00:00+10,0.0687,,,
312419,1,2023-04-12 00:30:00+10,0.0687,,,
312419,1,2023-04-12 01:00:00+10,0.0625,,,
312419,1,2023-04-12 01:30:00+10,0.0625,,,
312419,1,2023-04-12 02:00:00+10,0.0750,,,
312419,1,2023-04-12 02:30:00+10,0.0625,,,
312419,1,2023-04-12 03:00:00+10,0.0625,,,
312419,1,2023-04-12 03:30:00+10,0.0687,,,
312419,1,2023-04-12 04:00:00+10,0.0687,,,
312419,1,2023-04-12 04:30:00+10,0.0562,,,
312419,1,2023-04-12 05:00:00+10,0.0687,,,
312419,1,2023-04-12 05:30:00+10,0.0687,,,
312419,1,2023-04-12 06:00:00+10,0.0562,,,
312419,1,2023-04-12 06:30:00+10,0.0875,,,
312419,1,2023-04-12 07:00:00+10,0.0625,,,
312419,1,2023-04-12 07:30:00+10,0.0750,,,
312419,1,2023-04-12 08:00:00+10,0.0687,,,
312419,1,2023-04-12 08:30:00+10,0.2937,,,
312419,1,2023-04-12 09:00:00+10,0.2062,,,
312419,1,2023-04-12 09:30:00+10,0.1750,,,
312419,1,2023-04-12 10:00:00+10,0.1625,,,
312419,1,2023-04-12 10:30:00+10,0.1625,,,
312419,1,2023-04-12 11:00:00+10,0.1125,,,
312419,1,2023-04-12 11:30:00+10,0.1250,,,
312419,1,2023-04-12 12:00:00+10,0.1250,,,
312419,1,2023-04-12 12:30:00+10,0.1125,,,
312419,1,2023-04-12 13:00:00+10,0.1312,,,
312419,1,2023-04-12 13:30:00+10,0.1187,,,
312419,1,2023-04-12 14:00:00+10,0.1625,,,
312419,1,2023-04-12 14:30:00+10,0.1750,,,
312419,1,2023-04-12 15:00:00+10,0.1687,,,
312419,1,2023-04-12 15:30:00+10,0.0937,,,
312419,1,2023-04-12 16:00:00+10,0.0875,,,
312419,1,2023-04-12 16:30:00+10,0.0875,,,
312419,1,2023-04-12 17:00:00+10,0.1500,,,
312419,1,2023-04-12 17:30:00+10,0.6250,,,
312419,1,2023-04-12 18:00:00+10,0.2125,,,
312419,1,2023-04-12 18:30:00+10,0.1687,,,
312419,1,2023-04-12 19:00:00+10,1.0312,,,
312419,1,2023-04-12 19:30:00+10,0.1500,,,
312419,1,2023-04-12 20:00:00+10,0.1812,,,
312419,1,2023-04-12 20:30:00+10,0.1812,,,
312419,1,2023-04-12 21:00:00+10,0.1000,,,
312419,1,2023-04-12 21:30:00+10,0.0562,,,
312419,1,2023-04-12 22:00:00+10,0.0687,,,
312419,1,2023-04-12 22:30:00+10,0.0687,,,
312419,1,2023-04-12 23:00:00+10,0.0625,,,
312419,1,2023-04-12 23:30:00+10,0.0562,,,
312419,1,2023-04-13 00:00:00+10,0.0500,,,
85019,1,2023-04-12 00:00:00+10,0.0812,,,
85019,1,2023-04-12 00:30:00+10,0.0562,,,
85019,1,2023-04-12 01:00:00+10,0.0750,,,
85019,1,2023-04-12 01:30:00+10,0.0625,,,
85019,1,2023-04-12 02:00:00+10,0.0750,,,
85019,1,2023-04-12 02:30:00+10,0.0625,,,
85019,1,2023-04-12 03:00:00+10,0.0750,,,
85019,1,2023-04-12 03:30:00+10,0.0625,,,
85019,1,2023-04-12 04:00:00+10,0.0687,,,
85019,1,2023-04-12 04:30:00+10,0.0687,,,
85019,1,2023-04-12 05:00:00+10,0.1250,,,
85019,1,2023-04-12 05:30:00+10,0.0687,,,
85019,1,2023-04-12 06:00:00+10,0.0687,,,
85019,1,2023-04-12 06:30:00+10,0.0687,,,
85019,1,2023-04-12 07:00:00+10,0.0625,,,
85019,1,2023-04-12 07:30:00+10,0.3187,,,
85019,1,2023-04-12 08:00:00+10,0.2875,,,
85019,1,2023-04-12 08:30:00+10,0.1375,,,
85019,1,2023-04-12 09:00:00+10,0.2062,,,
85019,1,2023-04-12 09:30:00+10,0.3187,,,
85019,1,2023-04-12 10:00:00+10,0.0875,,,
85019,1,2023-04-12 10:30:00+10,0.0687,,,
85019,1,2023-04-12 11:00:00+10,0.0312,,,
85019,1,2023-04-12 11:30:00+10,0.0437,,,
85019,1,2023-04-12 12:00:00+10,0.0312,,,
85019,1,2023-04-12 12:30:00+10,0.0437,,,
85019,1,2023-04-12 13:00:00+10,0.0375,,,
85019,1,2023-04-12 13:30:00+10,0.0312,,,
85019,1,2023-04-12 14:00:00+10,0.0437,,,
85019,1,2023-04-12 14:30:00+10,0.0250,,,
85019,1,2023-04-12 15:00:00+10,0.0437,,,
85019,1,2023-04-12 15:30:00+10,0.0312,,,
85019,1,2023-04-12 16:00:00+10,0.0437,,,
85019,1,2023-04-12 16:30:00+10,0.0312,,,
85019,1,2023-04-12 17:00:00+10,0.0375,,,
85019,1,2023-04-12 17:30:00+10,0.0437,,,
85019,1,2023-04-12 18:00:00+10,0.2062,,,
85019,1,2023-04-12 18:30:00+10,0.3625,,,
85019,1,2023-04-12 19:00:00+10,0.2937,,,
85019,1,2023-04-12 19:30:00+10,0.2937,,,
85019,1,2023-04-12 20:00:00+10,0.2812,,,
85019,1,2023-04-12 20:30:00+10,0.2562,,,
85019,1,2023-04-12 21:00:00+10,0.3000,,,
85019,1,2023-04-12 21:30:00+10,0.2812,,,
85019,1,2023-04-12 22:00:00+10,0.2375,,,
85019,1,2023-04-12 22:30:00+10,0.0937,,,
85019,1,2023-04-12 23:00:00+10,0.0750,,,
85019,1,2023-04-12 23:30:00+10,0.0625,,,
85019,1,2023-04-13 00:00:00+10,0.0812,,,
385081,1,2023-04-12 00:00:00+10,0.0750,,,
385081,1,2023-04-12 00:30:00+10,0.0500,,,
385081,1,2023-04-12 01:00:00+10,0.0562,,,
385081,1,2023-04-12 01:30:00+10,0.0500,,,
385081,1,2023-04-12 02:00:00+10,0.0437,,,
385081,1,2023-04-12 02:30:00+10,0.0437,,,
385081,1,2023-04-12 03:00:00+10,0.0312,,,
385081,1,2023-04-12 03:30:00+10,0.0500,,,
385081,1,2023-04-12 04:00:00+10,0.0375,,,
385081,1,2023-04-12 04:30:00+10,0.0437,,,
385081,1,2023-04-12 05:00:00+10,0.0375,,,
385081,1,2023-04-12 05:30:00+10,0.0375,,,
385081,1,2023-04-12 06:00:00+10,0.0437,,,
385081,1,2023-04-12 06:30:00+10,0.0312,,,
385081,1,2023-04-12 07:00:00+10,0.2062,,,
385081,1,2023-04-12 07:30:00+10,0.9687,,,
385081,1,2023-04-12 08:00:00+10,0.2312,,,
385081,1,2023-04-12 08:30:00+10,0.0250,,,
385081,1,2023-04-12 09:00:00+10,0.0375,,,
385081,1,2023-04-12 09:30:00+10,0.0187,,,
385081,1,2023-04-12 10:00:00+10,0.0375,,,
385081,1,2023-04-12 10:30:00+10,0.0250,,,
385081,1,2023-04-12 11:00:00+10,0.0312,,,
385081,1,2023-04-12 11:30:00+10,0.0250,,,
385081,1,2023-04-12 12:00:00+10,0.0250,,,
385081,1,2023-04-12 12:30:00+10,0.0375,,,
385081,1,2023-04-12 13:00:00+10,0.0250,,,
385081,1,2023-04-12 13:30:00+10,0.0312,,,
385081,1,2023-04-12 14:00:00+10,0.0250,,,
385081,1,2023-04-12 14:30:00+10,0.0375,,,
385081,1,2023-04-12 15:00:00+10,0.0187,,,
385081,1,2023-04-12 15:30:00+10,0.0375,,,
385081,1,2023-04-12 16:00:00+10,0.0250,,,
385081,1,2023-04-12 16:30:00+10,0.0312,,,
385081,1,2023-04-12 17:00:00+10,0.0375,,,
385081,1,2023-04-12 17:30:00+10,0.0875,,,
385081,1,2023-04-12 18:00:00+10,0.0500,,,
385081,1,2023-04-12 18:30:00+10,0.0687,,,
385081,1,2023-04-12 19:00:00+10,0.0625,,,
385081,1,2023-04-12 19:30:00+10,0.0750,,,
385081,1,2023-04-12 20:00:00+10,0.4875,,,
385081,1,2023-04-12 20:30:00+10,0.8375,,,
385081,1,2023-04-12 21:00:00+10,0.9437,,,
385081,1,2023-04-12 21:30:00+10,0.9625,,,
385081,1,2023-04-12 22:00:00+10,0.9000,,,
385081,1,2023-04-12 22:30:00+10,0.9000,,,
385081,1,2023-04-12 23:00:00+10,0.5187,,,
385081,1,2023-04-12 23:30:00+10,0.0687,,,
385081,1,2023-04-13 00:00:00+10,0.0750,,,
649878,1,2023-04-12 00:00:00+10,0.0062,,,
649878,1,2023-04-12 00:30:00+10,0.0250,,,
649878,1,2023-04-12 01:00:00+10,0.0250,,,
649878,1,2023-04-12 01:30:00+10,0.0125,,,
649878,1,2023-04-12 02:00:00+10,0.0375,,,
649878,1,2023-04-12 02:30:00+10,0.0125,,,
649878,1,2023-04-12 03:00:00+10,0.0125,,,
649878,1,2023-04-12 03:30:00+10,0.0375,,,
649878,1,2023-04-12 04:00:00+10,0.0125,,,
649878,1,2023-04-12 04:30:00+10,0.0187,,,
649878,1,2023-04-12 05:00:00+10,0.0312,,,
649878,1,2023-04-12 05:30:00+10,0.0125,,,
649878,1,2023-04-12 06:00:00+10,0.0312,,,
649878,1,2023-04-12 06:30:00+10,0.0187,,,
649878,1,2023-04-12 07:00:00+10,0.0062,,,
649878,1,2023-04-12 07:30:00+10,0.0437,,,
649878,1,2023-04-12 08:00:00+10,0.0125,,,
649878,1,2023-04-12 08:30:00+10,0.0125,,,
649878,1,2023-04-12 09:00:00+10,0.0375,,,
649878,1,2023-04-12 09:30:00+10,0.0062,,,
649878,1,2023-04-12 10:00:00+10,0.0312,,,
649878,1,2023-04-12 10:30:00+10,0.0250,,,
649878,1,2023-04-12 11:00:00+10,0.0062,,,
649878,1,2023-04-12 11:30:00+10,0.0437,,,
649878,1,2023-04-12 12:00:00+10,0.0062,,,
649878,1,2023-04-12 12:30:00+10,0.0125,,,
649878,1,2023-04-12 13:00:00+10,0.0375,,,
649878,1,2023-04-12 13:30:00+10,0.0125,,,
649878,1,2023-04-12 14:00:00+10,0.0312,,,
649878,1,2023-04-12 14:30:00+10,0.0187,,,
649878,1,2023-04-12 15:00:00+10,0.0125,,,
649878,1,2023-04-12 15:30:00+10,0.0437,,,
649878,1,2023-04-12 16:00:00+10,0.0062,,,
649878,1,2023-04-12 16:30:00+10,0.0125,,,
649878,1,2023-04-12 17:00:00+10,0.0375,,,
649878,1,2023-04-12 17:30:00+10,0.0125,,,
649878,1,2023-04-12 18:00:00+10,0.0312,,,
649878,1,2023-04-12 18:30:00+10,0.0187,,,
649878,1,2023-04-12 19:00:00+10,0.0125,,,
649878,1,2023-04-12 19:30:00+10,0.0375,,,
649878,1,2023-04-12 20:00:00+10,0.0125,,,
649878,1,2023-04-12 20:30:00+10,0.0187,,,
649878,1,2023-04-12 21:00:00+10,0.0312,,,
649878,1,2023-04-12 21:30:00+10,0.0125,,,
649878,1,2023-04-12 22:00:00+10,0.0375,,,
649878,1,2023-04-12 22:30:00+10,0.0125,,,
649878,1,2023-04-12 23:00:00+10,0.0062,,,
649878,1,2023-04-12 23:30:00+10,0.0437,,,
649878,1,2023-04-13 00:00:00+10,0.0125,,,
702939,1,2023-04-12 00:00:00+10,0.0375,,,
702939,1,2023-04-12 00:30:00+10,0.0312,,,
702939,1,2023-04-12 01:00:00+10,0.0437,,,
702939,1,2023-04-12 01:30:00+10,0.0312,,,
702939,1,2023-04-12 02:00:00+10,0.0437,,,
702939,1,2023-04-12 02:30:00+10,0.0687,,,
702939,1,2023-04-12 03:00:00+10,0.0562,,,
702939,1,2023-04-12 03:30:00+10,0.0687,,,
702939,1,2023-04-12 04:00:00+10,0.0500,,,
702939,1,2023-04-12 04:30:00+10,0.0687,,,
702939,1,2023-04-12 05:00:00+10,0.0625,,,
702939,1,2023-04-12 05:30:00+10,0.0750,,,
702939,1,2023-04-12 06:00:00+10,0.0687,,,
702939,1,2023-04-12 06:30:00+10,0.2062,,,
702939,1,2023-04-12 07:00:00+10,0.1937,,,
702939,1,2023-04-12 07:30:00+10,0.1562,,,
702939,1,2023-04-12 08:00:00+10,0.2500,,,
702939,1,2023-04-12 08:30:00+10,0.0500,,,
702939,1,2023-04-12 09:00:00+10,0.0375,,,
702939,1,2023-04-12 09:30:00+10,0.0312,,,
702939,1,2023-04-12 10:00:00+10,0.0437,,,
702939,1,2023-04-12 10:30:00+10,0.0375,,,
702939,1,2023-04-12 11:00:00+10,0.0250,,,
702939,1,2023-04-12 11:30:00+10,0.0437,,,
702939,1,2023-04-12 12:00:00+10,0.0375,,,
702939,1,2023-04-12 12:30:00+10,0.0812,,,
702939,1,2023-04-12 13:00:00+10,0.0562,,,
702939,1,2023-04-12 13:30:00+10,0.0375,,,
702939,1,2023-04-12 14:00:00+10,0.0437,,,
702939,1,2023-04-12 14:30:00+10,0.0375,,,
702939,1,2023-04-12 15:00:00+10,0.0312,,,
702939,1,2023-04-12 15:30:00+10,0.0375,,,
702939,1,2023-04-12 16:00:00+10,0.0375,,,
702939,1,2023-04-12 16:30:00+10,0.0312,,,
702939,1,2023-04-12 17:00:00+10,0.0687,,,
702939,1,2023-04-12 17:30:00+10,0.2937,,,
702939,1,2023-04-12 18:00:00+10,0.4937,,,
702939,1,2023-04-12 18:30:00+10,0.8812,,,
702939,1,2023-04-12 19:00:00+10,0.7562,,,
702939,1,2023-04-12 19:30:00+10,0.7125,,,
702939,1,2023-04-12 20:00:00+10,0.8437,,,
702939,1,2023-04-12 20:30:00+10,0.4625,,,
702939,1,2023-04-12 21:00:00+10,0.2562,,,
702939,1,2023-04-12 21:30:00+10,0.2562,,,
702939,1,2023-04-12 22:00:00+10,0.2375,,,
702939,1,2023-04-12 22:30:00+10,0.1250,,,
702939,1,2023-04-12 23:00:00+10,0.0500,,,
702939,1,2023-04-12 23:30:00+10,0.0312,,,
702939,1,2023-04-13 00:00:00+10,0.0437,,,
13480,1,2023-04-12 00:00:00+10,0.2125,,,
13480,1,2023-04-12 00:30:00+10,0.2125,,,
13480,1,2023-04-12 01:00:00+10,0.1812,,,
13480,1,2023-04-12 01:30:00+10,0.1875,,,
13480,1,2023-04-12 02:00:00+10,0.2062,,,
13480,1,2023-04-12 02:30:00+10,0.1875,,,
13480,1,2023-04-12 03:00:00+10,0.1500,,,
13480,1,2023-04-12 03:30:00+10,0.1312,,,
13480,1,2023-04-12 04:00:00+10,0.1437,,,
13480,1,2023-04-12 04:30:00+10,0.1250,,,
13480,1,2023-04-12 05:00:00+10,0.1625,,,
13480,1,2023-04-12 05:30:00+10,0.1437,,,
13480,1,2023-04-12 06:00:00+10,0.1250,,,
13480,1,2023-04-12 06:30:00+10,0.1562,,,
13480,1,2023-04-12 07:00:00+10,0.1375,,,
13480,1,2023-04-12 07:30:00+10,0.1437,,,
13480,1,2023-04-12 08:00:00+10,0.1500,,,
13480,1,2023-04-12 08:30:00+10,0.1312,,,
13480,1,2023-04-12 09:00:00+10,0.1500,,,
13480,1,2023-04-12 09:30:00+10,0.1187,,,
13480,1,2023-04-12 10:00:00+10,0.3187,,,
13480,1,2023-04-12 10:30:00+10,0.2062,,,
13480,1,2023-04-12 11:00:00+10,0.4187,,,
13480,1,2023-04-12 11:30:00+10,0.2812,,,
13480,1,2023-04-12 12:00:00+10,0.4625,,,
13480,1,2023-04-12 12:30:00+10,0.2437,,,
13480,1,2023-04-12 13:00:00+10,0.2187,,,
13480,1,2023-04-12 13:30:00+10,0.3000,,,
13480,1,2023-04-12 14:00:00+10,0.1312,,,
13480,1,2023-04-12 14:30:00+10,0.1500,,,
13480,1,2023-04-12 15:00:00+10,0.1437,,,
13480,1,2023-04-12 15:30:00+10,0.1375,,,
13480,1,2023-04-12 16:00:00+10,0.1437,,,
13480,1,2023-04-12 16:30:00+10,0.1500,,,
13480,1,2023-04-12 17:00:00+10,0.1937,,,
13480,1,2023-04-12 17:30:00+10,0.9250,,,
13480,1,2023-04-12 18:00:00+10,0.5125,,,
13480,1,2023-04-12 18:30:00+10,0.1625,,,
13480,1,2023-04-12 19:00:00+10,0.1937,,,
13480,1,2023-04-12 19:30:00+10,0.2312,,,
13480,1,2023-04-12 20:00:00+10,0.2000,,,
13480,1,2023-04-12 20:30:00+10,0.2750,,,
13480,1,2023-04-12 21:00:00+10,0.1875,,,
13480,1,2023-04-12 21:30:00+10,0.1937,,,
13480,1,2023-04-12 22:00:00+10,0.2812,,,
13480,1,2023-04-12 22:30:00+10,0.2812,,,
13480,1,2023-04-12 23:00:00+10,0.2875,,,
13480,1,2023-04-12 23:30:00+10,0.2750,,,
13480,1,2023-04-13 00:00:00+10,0.2687,,,
711117,1,2023-04-12 00:00:00+10,0.0812,,,
711117,1,2023-04-12 00:30:00+10,0.0812,,,
711117,1,2023-04-12 01:00:00+10,0.0812,,,
711117,1,2023-04-12 01:30:00+10,0.0875,,,
711117,1,2023-04-12 02:00:00+10,0.0812,,,
711117,1,2023-04-12 02:30:00+10,0.0812,,,
711117,1,2023-04-12 03:00:00+10,0.0812,,,
711117,1,2023-04-12 03:30:00+10,0.0812,,,
711117,1,2023-04-12 04:00:00+10,0.0812,,,
711117,1,2023-04-12 04:30:00+10,0.0812,,,
711117,1,2023-04-12 05:00:00+10,0.0812,,,
711117,1,2023-04-12 05:30:00+10,0.0812,,,
711117,1,2023-04-12 06:00:00+10,0.0812,,,
711117,1,2023-04-12 06:30:00+10,0.0812,,,
711117,1,2023-04-12 07:00:00+10,0.0250,,,
711117,1,2023-04-12 07:30:00+10,0.0062,,,
711117,1,2023-04-12 08:00:00+10,0.0062,,,
711117,1,2023-04-12 08:30:00+10,0.0000,,,
711117,1,2023-04-12 09:00:00+10,0.0062,,,
711117,1,2023-04-12 09:30:00+10,0.0000,,,
711117,1,2023-04-12 10:00:00+10,0.0062,,,
711117,1,2023-04-12 10:30:00+10,0.0000,,,
711117,1,2023-04-12 11:00:00+10,0.0062,,,
711117,1,2023-04-12 11:30:00+10,0.0000,,,
711117,1,2023-04-12 12:00:00+10,0.0062,,,
711117,1,2023-04-12 12:30:00+10,0.0062,,,
711117,1,2023-04-12 13:00:00+10,0.0000,,,
711117,1,2023-04-12 13:30:00+10,0.0062,,,
711117,1,2023-04-12 14:00:00+10,0.0000,,,
711117,1,2023-04-12 14:30:00+10,0.0062,,,
711117,1,2023-04-12 15:00:00+10,0.0062,,,
711117,1,2023-04-12 15:30:00+10,0.0000,,,
711117,1,2023-04-12 16:00:00+10,0.0062,,,
711117,1,2023-04-12 16:30:00+10,0.0000,,,
711117,1,2023-04-12 17:00:00+10,0.0062,,,
711117,1,2023-04-12 17:30:00+10,0.0000,,,
711117,1,2023-04-12 18:00:00+10,0.1250,,,
711117,1,2023-04-12 18:30:00+10,0.0812,,,
711117,1,2023-04-12 19:00:00+10,0.0812,,,
711117,1,2023-04-12 19:30:00+10,0.0812,,,
711117,1,2023-04-12 20:00:00+10,0.0812,,,
711117,1,2023-04-12 20:30:00+10,0.0812,,,
711117,1,2023-04-12 21:00:00+10,0.0812,,,
711117,1,2023-04-12 21:30:00+10,0.0812,,,
711117,1,2023-04-12 22:00:00+10,0.0812,,,
711117,1,2023-04-12 22:30:00+10,0.0812,,,
711117,1,2023-04-12 23:00:00+10,0.0812,,,
711117,1,2023-04-12 23:30:00+10,0.0875,,,
711117,1,2023-04-13 00:00:00+10,0.0812,,,
91712,1,2023-04-12 00:00:00+10,0.0625,,,
91712,1,2023-04-12 00:30:00+10,0.1000,,,
91712,1,2023-04-12 01:00:00+10,0.0562,,,
91712,1,2023-04-12 01:30:00+10,0.0812,,,
91712,1,2023-04-12 02:00:00+10,0.0875,,,
91712,1,2023-04-12 02:30:00+10,0.0500,,,
91712,1,2023-04-12 03:00:00+10,0.0875,,,
91712,1,2023-04-12 03:30:00+10,0.1125,,,
91712,1,2023-04-12 04:00:00+10,0.1562,,,
91712,1,2023-04-12 04:30:00+10,0.1187,,,
91712,1,2023-04-12 05:00:00+10,0.1125,,,
91712,1,2023-04-12 05:30:00+10,0.1250,,,
91712,1,2023-04-12 06:00:00+10,0.1687,,,
91712,1,2023-04-12 06:30:00+10,0.1000,,,
91712,1,2023-04-12 07:00:00+10,0.1125,,,
91712,1,2023-04-12 07:30:00+10,0.1187,,,
91712,1,2023-04-12 08:00:00+10,0.0937,,,
91712,1,2023-04-12 08:30:00+10,0.1062,,,
91712,1,2023-04-12 09:00:00+10,0.3187,,,
91712,1,2023-04-12 09:30:00+10,0.3937,,,
91712,1,2023-04-12 10:00:00+10,1.0437,,,
91712,1,2023-04-12 10:30:00+10,0.9500,,,
91712,1,2023-04-12 11:00:00+10,0.3437,,,
91712,1,2023-04-12 11:30:00+10,0.7875,,,
91712,1,2023-04-12 12:00:00+10,1.2312,,,
